zip_code,Attribute,Avg_Income_by_House
44102,Average Household Income,"$39,459 "
44103,Average Household Income,"$32,668 "
44104,Average Household Income,"$26,770 "
44105,Average Household Income,"$40,175 "
44106,Average Household Income,"$55,977 "
44107,Average Household Income,"$67,096 "
44108,Average Household Income,"$42,358 "
44109,Average Household Income,"$45,525 "
44110,Average Household Income,"$33,155 "
44115,Average Household Income,"$43,158 "
44113,Average Household Income,"$62,993 "
44114,Average Household Income,"$54,071 "
44112,Average Household Income,"$39,154 "
44111,Average Household Income,"$53,403 "
44116,Average Household Income,"$109,552 "
44117,Average Household Income,"$45,773 "
44127,Average Household Income,"$31,427 "
44147,Average Household Income,"$110,603 "
44118,Average Household Income,"$89,157 "
44142,Average Household Income,"$64,150 "
44140,Average Household Income,"$118,190 "
44139,Average Household Income,"$145,106 "
44138,Average Household Income,"$84,694 "
44137,Average Household Income,"$52,029 "
44136,Average Household Income,"$99,457 "
44135,Average Household Income,"$50,494 "
44134,Average Household Income,"$63,010 "
44133,Average Household Income,"$90,334 "
44120,Average Household Income,"$62,971 "
44121,Average Household Income,"$68,126 "
44125,Average Household Income,"$58,094 "
44128,Average Household Income,"$45,331 "
44129,Average Household Income,"$62,301 "
44130,Average Household Income,"$64,143 "
44131,Average Household Income,"$96,905 "
44144,Average Household Income,"$53,770 "
44101,Average Household Income,"$43,158 "
